Name,Age,CleanAge,Date,CleanDate,Location,Cause of death
Kansas Joe McCoy Harlem Hamfats,44,44,"January 28, 1950",1950-01-28,"Chicago, Illinois, USA",Heart disease
Bertha Hill,45,45,"May 7, 1950",1950-05-07,"New York City, New York, USA",
Papa Charlie McCoy Harlem Hamfats,41,41,"July 26, 1950",1950-07-26,"Chicago, Illinois, USA",Paralytic brain disease
Cecil Gant,37,37,"February 4, 1951",1951-02-04,"Nashville, Tennessee, USA",Pneumonia and heart attack
Luke Jordan,60,60,"June 25, 1952",1952-06-25,,
Hank Williams,29,29,"January 1, 1953",1953-01-01,"Oak Hill, West Virginia, USA",Heart attack
Willie Love,46,46,"August 19, 1953",1953-08-19,"Jackson, Mississippi, USA",Bronchopneumonia
Carolina Slim,30,30,"October 22, 1953",1953-10-22,"Newark, New York, USA",Heart attack
Danny Cedrone Bill Haley & His Comets,33,33,"June 17, 1954",1954-06-17,"Philadelphia, Pennsylvania, USA",Broken neck from falling down stairs
Hot Lips Page,46,46,"November 9, 1954",1954-11-09,"New York, USA",Heart attack
Dink Johnson,62,62,"November 29, 1954",1954-11-29,USA,
Papa Celestin,70,70,"December 15, 1954",1954-12-15,"New Orleans, Louisiana, USA",
Johnny Ace,25,25,"December 25, 1954",1954-12-25,"Houston, Texas, USA",Accidental shooting
Ralph Willis,47,47,"June 11, 1957",1957-06-11,"New York City, New York, USA",
W. C. Handy,84,84,"March 28, 1958",1958-03-28,"New York City, New York, USA",Bronchial pneumonia
Chuck Willis,32-30,31,"April 10, 1958",1958-04-10,"Atlanta, Georgia, USA",Peritonitis
Big Bill Broonzy,65,65,August 14. 1958,1958-08-14,"Chicago, Illinois, USA",Laryngeal cancer
"Henry ""Son"" Sims",68,68,"December 26, 1958",1958-12-26,"Memphis, Tennessee, USA",Renal surgery
Buddy Holly Buddy Holly & The Crickets,22,22,"February 3, 1959",1959-02-03,"Clear Lake, Iowa, USA",Plane accident
The Big Bopper,28,28,"February 3, 1959",1959-02-03,"Clear Lake, Iowa, USA",Plane accident
Ritchie Valens,17,17,"February 3, 1959",1959-02-03,"Clear Lake, Iowa, USA",Plane accident
